Duration (ms),Status Code,Response Body,Timestamp
340,201,Lift ride recorded for skier 46610,09/03/2024 15:11:55
365,201,Lift ride recorded for skier 96046,09/03/2024 15:11:55
366,201,Lift ride recorded for skier 50930,09/03/2024 15:11:55
223,201,Lift ride recorded for skier 92473,09/03/2024 15:11:55
222,201,Lift ride recorded for skier 33275,09/03/2024 15:11:55
213,201,Lift ride recorded for skier 65021,09/03/2024 15:11:55
227,201,Lift ride recorded for skier 99536,09/03/2024 15:11:55
235,201,Lift ride recorded for skier 97817,09/03/2024 15:11:55
224,201,Lift ride recorded for skier 83524,09/03/2024 15:11:55
225,201,Lift ride recorded for skier 94429,09/03/2024 15:11:55
226,201,Lift ride recorded for skier 74957,09/03/2024 15:11:55
219,201,Lift ride recorded for skier 54361,09/03/2024 15:11:55
164,201,Lift ride recorded for skier 52212,09/03/2024 15:11:55
153,201,Lift ride recorded for skier 59363,09/03/2024 15:11:55
153,201,Lift ride recorded for skier 62997,09/03/2024 15:11:55
154,201,Lift ride recorded for skier 14560,09/03/2024 15:11:55
154,201,Lift ride recorded for skier 45833,09/03/2024 15:11:55
149,201,Lift ride recorded for skier 533,09/03/2024 15:11:55
154,201,Lift ride recorded for skier 15131,09/03/2024 15:11:55
146,201,Lift ride recorded for skier 12056,09/03/2024 15:11:55
152,201,Lift ride recorded for skier 11780,09/03/2024 15:11:55
154,201,Lift ride recorded for skier 8206,09/03/2024 15:11:55
151,201,Lift ride recorded for skier 79609,09/03/2024 15:11:55
156,201,Lift ride recorded for skier 24365,09/03/2024 15:11:55
143,201,Lift ride recorded for skier 47181,09/03/2024 15:11:55
160,201,Lift ride recorded for skier 38409,09/03/2024 15:11:55
154,201,Lift ride recorded for skier 99272,09/03/2024 15:11:55
155,201,Lift ride recorded for skier 97976,09/03/2024 15:11:55
151,201,Lift ride recorded for skier 41304,09/03/2024 15:11:55
146,201,Lift ride recorded for skier 68477,09/03/2024 15:11:55
146,201,Lift ride recorded for skier 58858,09/03/2024 15:11:55
150,201,Lift ride recorded for skier 42112,09/03/2024 15:11:55
154,201,Lift ride recorded for skier 88114,09/03/2024 15:11:55
163,201,Lift ride recorded for skier 57661,09/03/2024 15:11:55
159,201,Lift ride recorded for skier 64694,09/03/2024 15:11:55
150,201,Lift ride recorded for skier 64423,09/03/2024 15:11:55
158,201,Lift ride recorded for skier 73807,09/03/2024 15:11:55
158,201,Lift ride recorded for skier 82917,09/03/2024 15:11:55
143,201,Lift ride recorded for skier 62854,09/03/2024 15:11:55
135,201,Lift ride recorded for skier 43507,09/03/2024 15:11:55
135,201,Lift ride recorded for skier 68604,09/03/2024 15:11:55
140,201,Lift ride recorded for skier 15025,09/03/2024 15:11:55
155,201,Lift ride recorded for skier 32837,09/03/2024 15:11:55
131,201,Lift ride recorded for skier 29358,09/03/2024 15:11:55
156,201,Lift ride recorded for skier 9584,09/03/2024 15:11:55
144,201,Lift ride recorded for skier 38350,09/03/2024 15:11:55
145,201,Lift ride recorded for skier 39505,09/03/2024 15:11:55
146,201,Lift ride recorded for skier 49560,09/03/2024 15:11:55
149,201,Lift ride recorded for skier 66381,09/03/2024 15:11:55
